2025-08-13 21:10:25 | WARNING | [features.asr.paraformer] | paraformer请求失败:No api key provided. You can set by dashscope.api_key = your_api_key in code, or you can set it via environment variable DASHSCOPE_API_KEY= your_api_key. You can store your api key to a file, and use dashscope.api_key_file_path=api_key_file_path in code, or you can set api key file path via environment variable DASHSCOPE_API_KEY_FILE_PATH, You can call save_api_key to api_key_file_path or default path(~/.dashscope/api_key).
2025-08-13 21:59:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:00:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:01:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:02:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:03:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:04:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:05:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:06:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:07:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:08:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 22:09:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
